Model,Accuracy,Sensitivity (Recall),Specificity,AUC
Random Forest,0.6521739130434783,0.6410256410256411,0.6617647058823529,0.7389391654097537
Logistic Regression,0.6205533596837944,0.5641025641025641,0.6691176470588235,0.6897938662644545
AdaBoost,0.6324110671936759,0.6239316239316239,0.6397058823529411,0.7245475113122172
XGBoost,0.6403162055335968,0.6239316239316239,0.6544117647058824,0.7305178481649071
SVC,0.6324110671936759,0.5811965811965812,0.6764705882352942,0.6781674208144797
MLPClassifier,0.6324110671936759,0.5726495726495726,0.6838235294117647,0.6988436400201106
