Model,Accuracy,Sensitivity (Recall),Specificity,AUC
Random Forest,0.7368421052631579,0.0,1.0,0.6857142857142857
Logistic Regression,0.6710526315789473,0.25,0.8214285714285714,0.60625
AdaBoost,0.6842105263157895,0.3,0.8214285714285714,0.5901785714285714
XGBoost,0.7105263157894737,0.25,0.875,0.6124999999999999
SVC,0.7368421052631579,0.0,1.0,0.6312500000000001
MLPClassifier,0.6052631578947368,0.35,0.6964285714285714,0.5991071428571428
